,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,decreased excitatory postsynaptic current amplitude:-log(OR_p),decreased excitatory postsynaptic current amplitude:log_OR,decreased excitatory postsynaptic current amplitude:num_genes,decreased excitatory postsynaptic current amplitude:gene_ids,abnormal excitatory postsynaptic current amplitude:-log(OR_p),abnormal excitatory postsynaptic current amplitude:log_OR,abnormal excitatory postsynaptic current amplitude:num_genes,abnormal excitatory postsynaptic current amplitude:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C343,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2424275232274749,1.6475637817261983,2,GPM6A KCND2,0.5744391976634452,1.2179376378888342,1,KCND2,0.569947640691463,1.2109052411015817,1,KCND2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C343,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C308,23.90205559538514,5.1343600861110765,6,AMPH DNM1 DNM3 PACSIN1 SNAP91 STON2,8.783214646339161,2.909865552577166,5,DNM1 DNM3 PACSIN1 SNAP91 SYT2,17.45296099935754,3.9953604914779763,6,DNM1 DNM3 EPS15L1 PACSIN1 SNAP91 STON2,18.714372706900793,4.18194337347604,6,DNM1 DNM3 EPS15L1 PACSIN1 SNAP91 STON2,3.325485664035001,1.2159589688802015,11,DNM1 DNM2 DNM3 EPS15L1 PACSIN1 PEX11B SNAP91 STAM STON2 SYNJ2 VAMP7,4.95222770086607,1.5815223986838003,10,AAK1 DNM1 DNM3 PACSIN1 RALBP1 SLC18A3 SNAP91 STON2 SYNJ1 SYT2,4.913159183912832,1.5744321904066787,10,AAK1 DNM1 DNM3 PACSIN1 RALBP1 SLC18A3 SNAP91 STON2 SYNJ1 SYT2,8.567866143947995,3.7029573826020297,3,DNM3 PACSIN1 SNAP91,6.918704737311921,3.247206945405466,3,DNM3 PACSIN1 SNAP91,2.9621257055713746,3.4162885625100907,1,SYNJ1,Clathrin-mediated endocytosis,0,0,0.0,0.0,0.022222222222222223,0.9777777777777777
C324,4.4881992960608015,4.447292873914937,1,DNAJC6,-0.0,0.0,0,,2.996811930277996,3.475974259769254,1,DNAJC6,3.24101275183572,3.645076831455544,1,DNAJC6,0.5452357940888684,0.8363421817262289,2,AP4B1 DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Golgi Associated Vesicle Biogenesis,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C315,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.07145458903462314,0.14267029630072514,2,DNAJC30 DNAJC5,0.04163039898701726,-0.11785189475504687,1,DNAJC5,0.04423306439154083,-0.12488460250415301,1,DNAJC5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C315,0,2,0.0,0.1,0.0,0.9
C321,4.224233320584112,4.264864854861754,1,STON2,-0.0,0.0,0,,2.771323631393113,3.2935460363085305,1,STON2,3.008185676900446,3.4626486591702577,1,STON2,1.9613440974456269,1.5307007494724711,4,PEX11B STAM STON2 VAMP7,1.8641113962932399,1.6250259848700388,3,RALBP1 STON2 SYNJ1,1.8511955970270864,1.6179808627526615,3,RALBP1 STON2 SYNJ1,-0.0,0.0,0,,-0.0,0.0,0,,4.944980723237375,4.717275759653342,1,SYNJ1,clathrin coat,0,0,0.0,0.0,0.07692307692307693,0.9230769230769231
C314,3.4034770649849,3.704769846449121,1,SNAP91,6.210871622875352,3.128980578377325,3,SCAMP5 SNAP25 SNAP91,2.092743552865468,2.73345010752257,1,SNAP91,2.3030396715928574,2.902552960808901,1,SNAP91,3.2487612983147365,1.5809609777075444,7,ATL1 CAMSAP2 GLRB GPM6A GPR158 SNAP91 STXBP1,5.1927685688330625,2.070397578260991,7,CCSAP GPR158 SCAMP5 SNAP25 SNAP91 STXBP1 TSPAN13,5.161395122920798,2.0633269720507315,7,CCSAP GPR158 SCAMP5 SNAP25 SNAP91 STXBP1 TSPAN13,2.7469669009924766,3.239771625274538,1,SNAP91,5.643398651940663,3.565805322623845,2,SCAMP5 SNAP91,-0.0,0.0,0,,synaptic membrane,1,0,0.045454545454545456,0.0,0.0,0.9545454545454546
C373,-0.0,0.0,0,,3.0685893782193054,3.861666730050323,1,SNCA,-0.0,0.0,0,,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,SNCA,2.3281246855480875,2.8284963541780765,2,SNCA TSPAN13,2.3186053289011106,2.8214577227843582,2,SNCA TSPAN13,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C373,1,1,0.25,0.25,0.0,0.5
C360,5.827776994010121,5.6516382069165845,1,DNAJC6,-0.0,0.0,0,,4.248451429803388,4.680320307854355,1,DNAJC6,4.512202628678282,4.849422700512537,1,DNAJC6,0.5491384224666892,1.2415517964475047,1,DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C360,0,0,0.0,0.0,0.25,0.75
C320,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9583995290513704,1.0416255272421608,3,FIG4 PIK3R4 ZFYVE26,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C320,1,0,0.07142857142857142,0.0,0.0,0.9285714285714286
C331,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C331,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C346,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C346,0,1,0.0,0.2,0.0,0.8
