,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C253,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,CMTM6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C253,0,1,0.0,0.2,0.0,0.8
C231,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9583995290513704,1.0416255272421608,3,ADAP1 BCAS1 FA2H,-0.0,0.0,0,,4.609997364847746,4.503542012706193,1,BCAS1,-0.0,0.0,0,,0.8128602332353954,1.4820049889984865,1,FA2H,4.42350648674809,4.385652531789184,1,BCAS1,-0.0,0.0,0,,C231,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C236,-0.0,0.0,0,,-0.0,0.0,0,,2.7711339353789333,2.5217396562094736,2,MCOLN3 POLG,0.7567094561651311,1.08777317370933,2,MCOLN3 POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C236,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C228,2.0112141948763376,2.6679757903194474,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,0.04323361713465339,0.08854475749143376,2,ATP13A2 CMTM6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5145011268577058,1.0508432747738485,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,C228,0,0,0.0,0.0,0.047619047619047616,0.9523809523809523
C232,2.8363027882605993,3.3616566172979496,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,0.0124515108249942,0.03717105482169991,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0144851916279767,1.74453155160802,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,C232,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C251,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C251,0,1,0.0,0.2,0.0,0.8
C234,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.0936128161914653,0.26043117663204995,1,BCAS1,-0.0,0.0,0,,5.329263691522032,4.989315892078662,1,BCAS1,-0.0,0.0,0,,-0.0,0.0,0,,5.133839885428553,4.871426439480601,1,BCAS1,-0.0,0.0,0,,C234,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C239,3.259523322628966,3.7184915996462413,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,C239,0,0,0.0,0.0,0.125,0.875
C266,-0.0,0.0,0,,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,POLG,0.5491384224666892,1.2415517964475047,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C266,0,1,0.0,0.25,0.0,0.75
C262,4.073710476857645,4.566002804745972,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,LRRK2,-0.0,0.0,0,,5.988061327239887,5.7470547980006055,1,LRRK2,C262,0,1,0.0,0.25,0.0,0.75
C279,-0.0,0.0,0,,-0.0,0.0,0,,1.9208642070816933,3.0792604438564197,1,PARK7,0.7476913708470151,1.6470751677304456,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,6.373123427160552,6.315251624201879,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C279,0,1,0.0,0.3333333333333333,0.0,0.6666666666666667
