,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C180,2.4720563411834946,1.7506621253565733,3,DNM2 PTK7 SLC12A6,2.77453077282138,2.2927380407057676,2,PSEN1 SORL1,4.769131261153401,1.7407886718111278,7,AFF1 ATP7A CLCN7 PSEN1 SLC12A6 SLC24A1 SORL1,3.6625663943101525,1.6006687019653683,6,AFF1 ATP2B1 CLCN7 LYST PSEN1 VPS13A,4.395920210811572,1.225569875565018,15,AFF1 APBB2 ATP2B1 ATP7A CHN2 CLCN7 DNM2 LYST MANBA NUMB PSEN1 PTK7 SLC12A6 SLC24A1 SORL1,1.728800454341597,1.401105955218803,3,ATP7A NUMB PSEN1,-0.0,0.0,0,,2.577458543594103,1.089571092727068,9,ATP2B1 ATP7A CLCN7 DNM2 NUMB PSEN1 PTK7 SLC12A6 SLC24A1,-0.0,0.0,0,,1.1241044393079993,1.2866645201710476,2,DNM2 SLC12A6,clathrin-coated vesicle,1,4,0.01639344262295082,0.06557377049180328,0.0,0.9180327868852459
C183,2.902230426616107,2.405979391198331,2,ATP8A2 ATP8B1,1.9555845634327873,2.619132245841998,1,ATP7B,2.7095916593041456,1.9303956375147129,3,ATP7B ATP8A2 ATP8B1,-0.0,0.0,0,,2.3459445827015353,1.3616064891129422,6,ARHGAP32 ATP7B ATP8A2 ATP8B1 ATP9A CHN2,-0.0,0.0,0,,-0.0,0.0,0,,0.32770921922544566,0.5360486245613227,2,ATP8A2 ATP8B1,-0.0,0.0,0,,0.9437218895553079,1.6228442432845682,1,ATP8A2,Ion transport by P-type ATPases,1,1,0.045454545454545456,0.045454545454545456,0.0,0.9090909090909091
C204,2.5118564246478794,3.317193848813674,1,PTK7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,PTK7,-0.0,0.0,0,,-0.0,0.0,0,,0.7118845562773235,1.4522779014161333,1,PTK7,-0.0,0.0,0,,-0.0,0.0,0,,C204,0,1,0.0,0.2,0.0,0.8
C182,2.5031098508997007,2.1825674195362463,2,DNM2 SLC12A6,1.718272437243014,2.405291201253627,1,SORL1,5.411588524739092,2.2992164399850594,5,AFF1 ATP7A SLC12A6 SLC24A1 SORL1,1.0878167218432007,1.2822945750229557,2,AFF1 LYST,5.2553919575617485,1.814179315177852,10,AFF1 APBB2 ATP7A CHN2 DNM2 LYST MANBA SLC12A6 SLC24A1 SORL1,0.5494486643445617,1.0981273618017404,1,ATP7A,-0.0,0.0,0,,1.3530935241631392,1.0911917029151397,4,ATP7A DNM2 SLC12A6 SLC24A1,-0.0,0.0,0,,2.436891019858647,2.147153900173267,2,DNM2 SLC12A6,C182,1,2,0.037037037037037035,0.07407407407407407,0.0,0.8888888888888888
C191,-0.0,0.0,0,,-0.0,0.0,0,,0.955035732720776,1.692639836200005,1,AFF1,4.9635627007037595,3.1183629452728194,3,AFF1 LYST VPS13A,0.7567094561651311,1.08777317370933,2,AFF1 LYST,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C191,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C201,2.5118564246478794,3.317193848813674,1,APOE,3.8451277768683387,4.2782674003830286,1,APOE,1.481445544225232,2.3860045262768494,1,APOE,1.514819564272789,2.42042246023611,1,APOE,0.40481136954526753,0.953811457426152,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,0.7118845562773235,1.4522779014161333,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,C201,0,1,0.0,0.2,0.0,0.8
C209,-0.0,0.0,0,,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,CCL2,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,CCL2,2.3155063778874005,3.258850401607882,1,CCL2,4.145821732751377,4.613415668266368,1,CCL2,0.8794781802590359,1.7400162310758827,1,CCL2,3.9833099328193056,4.506070225331822,1,CCL2,2.691037327039821,3.569720472277621,1,CCL2,C209,0,1,0.0,0.25,0.0,0.75
C194,2.1443800606984973,2.911621473341503,1,DNM2,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,ATP7A,-0.0,0.0,0,,2.1424857260260395,2.0536343999951576,3,APBB2 ATP7A DNM2,1.7509398551539537,2.5655417266864298,1,ATP7A,-0.0,0.0,0,,1.6651433928062092,1.9231872713250375,2,ATP7A DNM2,-0.0,0.0,0,,2.1025888165932405,2.8764123431940316,1,DNM2,C194,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C208,-0.0,0.0,0,,4.073710476857645,4.566002804745972,1,ATP7B,1.684050985540706,2.6737409687164098,1,ATP7B,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,ATP7B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C208,1,0,0.25,0.0,0.0,0.75
C189,4.541345882740605,3.3229140380979523,2,ATP8A2 ATP8B1,-0.0,0.0,0,,2.590046360197524,2.388153881770217,2,ATP8A2 ATP8B1,-0.0,0.0,0,,1.515417897771457,1.4938437919782892,3,ATP8A2 ATP8B1 ATP9A,-0.0,0.0,0,,-0.0,0.0,0,,1.1785334252051796,1.4530148419663682,2,ATP8A2 ATP8B1,-0.0,0.0,0,,1.7124062394377921,2.4707862606536235,1,ATP8A2,Ion transport by P-type ATPases,0,1,0.0,0.1,0.0,0.9
C190,-0.0,0.0,0,,3.1033988724576824,3.584906863730959,1,ATP7B,0.955035732720776,1.692639836200005,1,ATP7B,0.9836037104396502,1.7270579356196691,1,IGF1R,0.7567094561651311,1.08777317370933,2,ATP7B IGF1R,-0.0,0.0,0,,-0.0,0.0,0,,0.3237655882961622,0.7589056603702318,1,IGF1R,-0.0,0.0,0,,1.8262665500868434,2.588622957333337,1,IGF1R,C190,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C196,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,transition metal ion transport,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C207,-0.0,0.0,0,,4.073710476857645,4.566002804745972,1,PSEN1,1.684050985540706,2.6737409687164098,1,PSEN1,1.7184611972172283,2.7081588613218095,1,PSEN1,0.5491384224666892,1.2415517964475047,1,PSEN1,2.3155063778874005,3.258850401607882,1,PSEN1,-0.0,0.0,0,,0.8794781802590359,1.7400162310758827,1,PSEN1,-0.0,0.0,0,,-0.0,0.0,0,,membrane protein proteolysis,0,1,0.0,0.25,0.0,0.75
C213,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C213,0,1,0.0,0.25,0.0,0.75
