,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic glutamate release:-log(OR_p),abnormal synaptic glutamate release:log_OR,abnormal synaptic glutamate release:num_genes,abnormal synaptic glutamate release:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C227,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C227,1,0,0.2,0.0,0.0,0.8
C199,0.053694162595932064,-0.08818134113291975,3,FKRP MACF1 SIRT2,0.2753819349448494,0.4567961485893619,2,FKRP FKTN,0.34605441051096525,-0.764923199474028,1,RAB3GAP1,-0.0,0.0,0,,0.2921075582294688,-0.6676825785145066,1,RAB3GAP1,-0.0,0.0,0,,0.34205003129553346,-0.7578901134681164,1,RAB3GAP1,-0.0,0.0,0,,-0.0,0.0,0,,0.7021910112269898,1.3080646584300464,1,RAB3GAP1,C199,1,2,0.02702702702702703,0.05405405405405406,0.0,0.9189189189189189
C204,0.14190597519224,-0.3685855389911534,1,GAN,0.25592662586100706,0.6105263171882047,1,GAN,0.03910521926977249,0.11172960387482789,1,CPEB1,-0.0,0.0,0,,0.07585475090078238,0.20896404831007231,1,CPEB1,-0.0,0.0,0,,0.04167733378273049,0.11876222272763748,1,CPEB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C204,1,1,0.0625,0.0625,0.0,0.875
C203,5.055900259886795,1.9025416483920168,9,ASTN1 CHN1 DGKB GABBR2 GRIA2 KISS1R MAPT SLC17A6 SYN1,4.25356201220999,2.0435842317889836,5,ASTN1 GRIA2 MAPT SYN1 SYT1,10.242782092982887,2.742434213417729,11,DGKB GABBR2 GRIA2 GRIN2A MAPT NELL2 SLC17A6 SNAP25 SYN1 SYP SYT1,5.084777326619051,2.7817947711475046,3,ASTN1 GRIA2 MAPT,10.93103341734497,2.8405877900033687,11,DGKB GABBR2 GRIA2 GRIN2A MAPT NELL2 SLC17A6 SNAP25 SYN1 SYP SYT1,12.898127911839477,3.8094497986074805,5,GRIA2 MAPT SLC17A6 SYN1 SYT1,10.291795817268477,2.7495303203493275,11,DGKB GABBR2 GRIA2 GRIN2A MAPT NELL2 SLC17A6 SNAP25 SYN1 SYP SYT1,9.333956361405665,4.924436108002809,2,SYN1 SYT1,9.333956361405665,4.924436108002809,2,SLC17A6 SNAP25,11.90230844086549,3.640602332335356,5,GABBR2 GRIA2 GRIN2A SLC17A6 SYT1,excitatory synapse,1,1,0.043478260869565216,0.043478260869565216,0.0,0.9130434782608696
C205,3.6177891840294953,1.9373787140058436,6,ARHGEF9 ATRN GLRB NBEA PCDH9 STXBP1,0.29090570375896485,0.6795742926839861,1,NOVA1,2.709687847361322,1.8112438373149153,4,ARHGEF9 NBEA PCDH9 STXBP1,1.2956318266391926,2.0286851600568614,1,NOVA1,1.751918468457239,1.5329627345557135,3,ARHGEF9 NBEA PCDH9,1.698820333508527,2.4173490366261134,1,ARHGEF9,2.7273452706008947,1.8182953067993672,4,ARHGEF9 NBEA PCDH9 STXBP1,-0.0,0.0,0,,-0.0,0.0,0,,1.5227917891395704,2.253705639124121,1,NBEA,C205,2,0,0.13333333333333333,0.0,0.0,0.8666666666666667
C201,0.20654806825867794,0.3033268348263132,3,FKRP MACF1 SIRT2,0.5893362720188482,0.8346970252754247,2,FKRP FKTN,0.1578449448465126,-0.399659685990299,1,RAB3GAP1,-0.0,0.0,0,,0.11524465720575941,-0.30242230217241506,1,RAB3GAP1,-0.0,0.0,0,,0.15467009039870733,-0.3926268448215726,1,RAB3GAP1,-0.0,0.0,0,,-0.0,0.0,0,,0.9913299545771116,1.6732976318093034,1,RAB3GAP1,C201,1,2,0.038461538461538464,0.07692307692307693,0.0,0.8846153846153846
C208,1.9613440974456269,1.5307007494724711,4,CETN2 MBD1 OFD1 PAFAH1B1,1.4457771885219468,1.615572053411464,2,PAFAH1B1 YWHAE,0.12630600544709883,0.33504219308210104,1,MBD1,1.43816518827946,2.182943187852663,1,PAFAH1B1,0.16873000220344314,0.4322757563467423,1,MBD1,-0.0,0.0,0,,0.12928475771356693,0.34207474528897386,1,MBD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Recruitment of mitotic centrosome proteins and complexes,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C219,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C219,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C207,0.9583995290513704,1.0416255272421608,3,CD81 TUBB2B TUBB4A,1.3405225436999704,1.5285055815208537,2,TUBB2B TUBB4A,-0.0,0.0,0,,3.7603475997540197,2.881821043121594,2,TUBB2B TUBB4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-independent Golgi-to-ER retrograde traffic,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C232,0.40481136954526753,0.953811457426152,1,MACF1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C232,0,1,0.0,0.2,0.0,0.8
C206,0.2694638986664355,0.4683842334273116,2,FKRP SIRT2,1.2451205436983153,1.448407775910722,2,FKRP FKTN,0.06478525476655854,0.1807788245010613,1,RAB3GAP1,-0.0,0.0,0,,0.10327897836853822,0.278012975179756,1,RAB3GAP1,-0.0,0.0,0,,0.06748222837774022,0.18781142113605576,1,RAB3GAP1,-0.0,0.0,0,,-0.0,0.0,0,,1.5227917891395704,2.253705639124121,1,RAB3GAP1,C206,1,1,0.06666666666666667,0.06666666666666667,0.0,0.8666666666666667
C209,1.0738320039833886,1.1369939973907055,3,KIF1A KIF21B STARD9,0.3732514373743786,0.833835171420386,1,KIF1A,0.12630600544709883,0.33504219308210104,1,KIF13A,-0.0,0.0,0,,0.16873000220344314,0.4322757563467423,1,KIF13A,-0.0,0.0,0,,0.12928475771356693,0.34207474528897386,1,KIF13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,microtubule motor activity,1,0,0.07692307692307693,0.0,0.0,0.9230769230769231
C247,0.5491384224666892,1.2415517964475047,1,CHN1,1.2627430744741865,2.220625277407077,1,SYT1,2.3186053289011106,2.8214577227843582,2,NELL2 SYT1,-0.0,0.0,0,,2.451971945972524,2.9187795311386147,2,NELL2 SYT1,3.198874104518185,3.958382580385635,1,SYT1,2.3281246855480875,2.8284963541780765,2,NELL2 SYT1,6.584247626163114,6.1040489078551285,1,SYT1,-0.0,0.0,0,,2.9799384188084073,3.7947398448134146,1,SYT1,C247,0,1,0.0,0.25,0.0,0.75
C217,0.21334681330438932,0.5482298059928752,1,GAN,0.8023406074994268,1.5273128758636911,1,GAN,0.46700774404981704,1.0285273637308894,1,CPEB1,-0.0,0.0,0,,0.5264814711412718,1.1257591655453272,1,CPEB1,-0.0,0.0,0,,0.4712153231796257,1.0355597827134417,1,CPEB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C217,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C212,0.7567094561651311,1.08777317370933,2,NBEA PCDH9,0.6146042825290133,1.2395206409221267,1,NOVA1,1.2956214876628689,1.5684131672626602,2,NBEA PCDH9,1.8262665500868434,2.588622957333337,1,NOVA1,1.4211904156245236,1.6657364427501022,2,NBEA PCDH9,-0.0,0.0,0,,1.3045147463515192,1.575451909620389,2,NBEA PCDH9,-0.0,0.0,0,,-0.0,0.0,0,,2.0869072281671883,2.813642832676196,1,NBEA,C212,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C241,0.5491384224666892,1.2415517964475047,1,SIRT2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C241,1,0,0.25,0.0,0.0,0.75
C231,0.40481136954526753,0.953811457426152,1,TUBB2B,1.07553880934139,1.932888134327201,1,TUBB2B,-0.0,0.0,0,,2.4680981664608668,3.281984753196177,1,TUBB2B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-independent Golgi-to-ER retrograde traffic,0,1,0.0,0.2,0.0,0.8
C229,0.40481136954526753,0.953811457426152,1,PCDH9,1.07553880934139,1.932888134327201,1,NOVA1,0.6994559669020254,1.434105109820699,1,PCDH9,2.4680981664608668,3.281984753196177,1,NOVA1,0.7670619460109529,1.5313363247489082,1,PCDH9,-0.0,0.0,0,,0.70425422742106,1.441137484415151,1,PCDH9,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C229,1,0,0.2,0.0,0.0,0.8
