,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,abnormal hippocampus neuron morphology:-log(OR_p),abnormal hippocampus neuron morphology:log_OR,abnormal hippocampus neuron morphology:num_genes,abnormal hippocampus neuron morphology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C278,6.149408103039328,3.9147502069259623,2,EPS15L1 ZDHHC5,1.170105645184275,1.318537816288119,2,PIK3R4 ZDHHC5,0.7321067183086309,1.3437882899238751,1,EPS15L1,0.7478169711105487,0.4359168583208497,11,AP4B1 ATG7 EPS15L1 NTRK1 PHRF1 PI4K2A PIK3R4 SLC44A2 SQSTM1 WDR45 ZDHHC5,-0.0,0.0,0,,0.679156587143986,0.7413184421216314,3,ATG7 PI4K2A WDR45,-0.0,0.0,0,,-0.0,0.0,0,,0.8648975075545868,1.5128927623989608,1,EPS15L1,0.8019661083937519,1.4342070600373589,1,PHRF1,C278,0,0,0.0,0.0,0.011764705882352941,0.9882352941176471
C280,-0.0,0.0,0,,3.147870723791542,2.0252048834481764,3,ATRX HIVEP2 SPG11,-0.0,0.0,0,,1.6308458451347614,0.7521673589590705,11,ATP2B1 ATRX ATXN7 CAMSAP2 FIG4 HIVEP2 NCOR1 OFD1 RUFY3 SETX SPG11,-0.0,0.0,0,,3.09650332927671,1.5719628012675546,5,ATP2B1 CERS6 FIG4 HIVEP2 SPG11,0.3281946807324384,0.7311974803378423,1,RAB3GAP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C280,1,1,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.9538461538461538
C299,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,pyridoxal phosphate binding,0,1,0.0,0.125,0.0,0.875
C343,7.127072304392954,6.440733865174867,1,ZDHHC5,3.1760948532519633,3.941608553146362,1,ZDHHC5,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,ZDHHC5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C343,0,1,0.0,0.25,0.0,0.75
C285,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.09688511674335719,-0.18624206488212103,2,CHCHD10 SOD1,-0.0,0.0,0,,0.3565808986757295,0.7881542119491467,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C285,2,2,0.07407407407407407,0.07407407407407407,0.0,0.8518518518518519
C284,9.309187030389898,5.004319092529459,2,EPS15L1 ZDHHC5,2.9602195835697644,2.4081241641384636,2,PIK3R4 ZDHHC5,1.726660357425604,2.4102497297705394,1,EPS15L1,2.8910138502778477,1.3316992442379174,8,ATG7 EPS15L1 NTRK1 PI4K2A PIK3R4 SQSTM1 WDR45 ZDHHC5,-0.0,0.0,0,,2.6194211665396034,1.8551832294096764,3,ATG7 PI4K2A WDR45,-0.0,0.0,0,,-0.0,0.0,0,,1.9197611947356181,2.579352788064578,1,EPS15L1,-0.0,0.0,0,,C284,0,0,0.0,0.0,0.03333333333333333,0.9666666666666667
C289,-0.0,0.0,0,,1.7564067898001883,2.4747364388613065,1,CLCN3,2.6723600453017533,3.21344999103464,1,CLCN3,0.9583995290513704,1.0416255272421608,3,CLCN3 CLCN6 SLC9A6,1.6680228389680245,2.39479432933833,1,SLC9A9,2.496333192216784,2.258349757217694,2,CLCN3 SLC9A6,1.5956902592452182,2.327867186054851,1,CLCN3,-0.0,0.0,0,,-0.0,0.0,0,,2.796140343409089,3.3038677475862634,1,CLCN3,chloride channel activity,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C282,8.321737429104374,4.672376086674635,2,KIF1A SYN1,4.472496749988876,2.516040110231529,3,DGKB GRIA2 SYN1,7.0005049064911615,3.273182431808727,3,KIF1A SH3GL2 UNC13A,6.504268060411715,1.6898807901852582,14,ATL1 CEND1 DGKB FKRP GLRB GRIA2 KIF1A OLIG1 SH3GL2 SNCA STXBP1 SYN1 UNC13A VAMP2,12.136182046340124,3.2338917708317263,6,SCAMP5 SH3GL2 SNAP25 SNCA UNC13A VAMP2,3.2638979000602495,1.8303627880904951,4,FKRP GRIA2 OLIG1 SNCA,6.335764856142325,2.6885679012686428,4,GRIA2 SCAMP5 SH3GL2 UNC13A,12.33345449912257,4.815974766444997,3,RAB3A SH3GL2 SYN1,7.637858046177768,3.448867097535098,3,KIF1A SH3GL2 UNC13A,4.107583058989152,2.91606342760938,2,GRIA2 SYP,calcium-ion regulated exocytosis,1,1,0.024390243902439025,0.024390243902439025,0.0,0.9512195121951219
C283,-0.0,0.0,0,,2.5951884247349564,2.2136467268630042,2,ATRX SPG11,-0.0,0.0,0,,0.9907371348955983,0.7321811697840115,6,ATP2B1 ATRX FIG4 NCOR1 SETX SPG11,-0.0,0.0,0,,2.200051127216375,1.6541876124673571,3,ATP2B1 FIG4 SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C283,0,0,0.0,0.0,0.027777777777777776,0.9722222222222222
C286,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.3238428446012012,0.4432637604326928,3,ATXN7 OFD1 RUFY3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C286,1,1,0.043478260869565216,0.043478260869565216,0.0,0.9130434782608696
C287,10.752928816389167,5.503895785506259,2,KIF1A SYN1,1.4294279888099102,2.1490464082899274,1,SYN1,5.831660191607908,3.6555115488568113,2,KIF1A UNC13A,1.1529237020677268,1.0195253530551351,4,CEND1 KIF1A SYN1 UNC13A,6.690582492855953,3.300991516592994,3,SCAMP5 SNAP25 UNC13A,-0.0,0.0,0,,3.6117673629415257,2.7597045531670057,2,SCAMP5 UNC13A,9.925928304858665,5.135958126189077,2,RAB3A SYN1,6.303624167475748,3.82784184419576,2,KIF1A UNC13A,2.3909898772113864,2.97817868759431,1,SYP,calcium-ion regulated exocytosis,1,1,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C331,-0.0,0.0,0,,3.1760948532519633,3.941608553146362,1,SPG11,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,SPG11,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C331,0,0,0.0,0.0,0.25,0.75
C296,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7567094561651311,1.08777317370933,2,SQSTM1 WDR45,-0.0,0.0,0,,1.1942799076748072,1.9677832870517253,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C296,0,0,0.0,0.0,0.1111111111111111,0.8888888888888888
C298,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,SOD1,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C298,0,1,0.0,0.125,0.0,0.875
C324,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C324,1,0,0.25,0.0,0.0,0.75
C294,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.04942669486916823,0.14258985742618258,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C294,1,1,0.1,0.1,0.0,0.8
C305,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C305,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C290,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.461386706231409,0.7309233791217462,2,ATXN7 RUFY3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C290,1,1,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334
C310,6.7020924787086456,5.929801886715875,1,KIF1A,-0.0,0.0,0,,8.242343669358211,5.103123846665846,2,KIF1A UNC13A,1.2424275232274749,1.6475637817261983,2,KIF1A UNC13A,6.042260899415525,4.274741190606471,2,SCAMP5 UNC13A,-0.0,0.0,0,,5.875431175556993,4.207319896310381,2,SCAMP5 UNC13A,-0.0,0.0,0,,8.727528309685882,5.275453809382158,2,KIF1A UNC13A,-0.0,0.0,0,,C310,1,1,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666667
C328,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,SLC9A6,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,SLC9A6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,secondary active transmembrane transporter activity,1,0,0.25,0.0,0.0,0.75
C297,-0.0,0.0,0,,2.405691060768917,3.0940967089141225,1,CLCN3,3.428218480913024,3.8328091823778374,1,CLCN3,0.8913611097197605,1.2419821302929215,2,CLCN3 CLCN6,2.3050968870527035,3.0141547712840975,1,SLC9A9,1.3040604596649203,2.1013687673523824,1,CLCN3,2.2224563315278956,2.94722778286172,1,CLCN3,-0.0,0.0,0,,-0.0,0.0,0,,3.5641363899040557,3.9232268536279724,1,CLCN3,chloride channel activity,0,1,0.0,0.125,0.0,0.875
C304,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.05146764253172,1.424361960447225,2,ATXN7 RUFY3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C304,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C301,-0.0,0.0,0,,-0.0,0.0,0,,3.605346944581899,3.9870131827415136,1,GDI1,0.21334681330438932,0.5482298059928752,1,GDI1,-0.0,0.0,0,,-0.0,0.0,0,,2.37649961903966,3.101432017381722,1,GDI1,-0.0,0.0,0,,3.8650166751964115,4.156115652109667,1,GDI1,-0.0,0.0,0,,vesicle tethering complex,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C346,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C346,0,1,0.0,0.25,0.0,0.75
