,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C180,-0.0,0.0,0,,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,CLCN3,-0.0,0.0,0,,1.085604265160204,1.8606436686870795,1,CLCN3,-0.0,0.0,0,,1.0216102925666097,1.785898169478065,1,CLCN3,0.7004853120790371,1.373107116308514,1,SLC9A9,0.8754490778576897,1.6065985526582356,1,CLCN3,-0.0,0.0,0,,recycling endosome membrane,0,1,0.0,0.125,0.0,0.875
C187,-0.0,0.0,0,,-0.0,0.0,0,,3.960816610944204,3.3573947590037623,2,CLCN3 LTN1,4.273812169282771,4.469430376538811,1,LTN1,3.484049015481297,3.116017622434696,2,CLCN3 LTN1,-0.0,0.0,0,,1.2764812066533329,2.1224792614850054,1,CLCN3,2.6128531739134386,2.627558544427668,2,LTN1 SLC9A9,1.1173372712483738,1.9431801446297685,1,CLCN3,-0.0,0.0,0,,C187,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C179,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9220544506947927,1.652312344716794,1,SLC7A14,-0.0,0.0,0,,0.7818026774538849,1.4730124778737554,1,SLC7A14,-0.0,0.0,0,,C179,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C173,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,intramolecular oxidoreductase activity,0,1,0.0,0.0625,0.0,0.9375
C191,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3457990234514219,2.1972245773362182,1,VPS13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C191,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C178,5.916899870081686,5.341802478487775,1,SNCA,-0.0,0.0,0,,3.1102333469951717,2.6640312452899177,2,SNCA SOD1,3.5715385343614745,3.8814305942614915,1,SOD1,2.6525063579031345,2.422653097818255,2,SNCA SOD1,1.3889267711979032,2.1599150981321174,1,SNCA,2.51781254899497,2.3477348391138744,2,SNCA SOD1,1.8372621173306412,1.9341910510225926,2,SNCA SOD1,2.209059022559889,2.1680698786898205,2,SNCA SOD1,-0.0,0.0,0,,hydrogen peroxide metabolic process,0,1,0.0,0.1,0.0,0.9
C176,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,intramolecular oxidoreductase activity,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C181,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.125,0.0,0.875
C177,-0.0,0.0,0,,-0.0,0.0,0,,1.0144851916279767,1.74453155160802,1,FKRP,-0.0,0.0,0,,0.817906075060918,1.5038056945602296,1,FKRP,-0.0,0.0,0,,-0.0,0.0,0,,0.47767934519924177,1.0162669149810224,1,FKRP,-0.0,0.0,0,,-0.0,0.0,0,,C177,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C196,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C196,0,1,0.0,0.25,0.0,0.75
C202,7.127072304392954,6.440733865174867,1,SNCA,-0.0,0.0,0,,4.27994551996765,4.050650088593175,2,SNCA SOD1,4.7204229702274585,4.98036254196269,1,SOD1,3.8474524862474357,3.8092734573110407,2,SNCA SOD1,2.3155063778874005,3.258850401607882,1,SNCA,3.717891744051766,3.7343557486202528,2,SNCA SOD1,3.04286821970906,3.3208158632111964,2,SNCA SOD1,3.4162616851121936,3.5546922879263745,2,SNCA SOD1,-0.0,0.0,0,,C202,0,1,0.0,0.25,0.0,0.75
C195,-0.0,0.0,0,,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,CLCN3,-0.0,0.0,0,,1.7184611972172283,2.7081588613218095,1,CLCN3,-0.0,0.0,0,,1.644166871080029,2.6334137287885175,1,CLCN3,1.2627430744741865,2.220625277407077,1,SLC9A9,1.472499636302254,2.454115111788794,1,CLCN3,-0.0,0.0,0,,C195,0,1,0.0,0.25,0.0,0.75
