,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C291,1.7184611972172283,2.7081588613218095,1,HEXA,1.684050985540706,2.6737409687164098,1,MAN2C1,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,HEXA,2.5380723138122927,3.4401035506397744,3,COLQ HEXA MAN2C1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.691037327039821,3.569720472277621,1,HEXA,C291,1,0,0.25,0.0,0.0,0.75
C252,0.07141613305023115,0.1940044059327075,1,SCARB2,0.05798237559603397,0.1595851047697039,1,SCARB2,-0.0,0.0,0,,0.17495287337374812,0.434737099541719,1,SCARB2,0.8724246009219645,0.6675259284828989,6,CMTM6 KLC1 SCARB2 SNCG SORT1 VAMP2,0.5479596183866077,1.0907989127310351,1,SCARB2,3.6640141750459128,3.926618671276037,1,SNCG,1.0952437627531826,1.782549193030734,1,SCARB2,1.3519560448177566,2.0518822982390343,1,KLC1,0.524406114134103,1.0555892464199026,1,SCARB2,Golgi Associated Vesicle Biogenesis,0,1,0.0,0.02631578947368421,0.0,0.9736842105263158
C253,1.2459758940302599,1.4102911097235857,2,ATP13A2 VPS13A,2.506121716273607,1.830203341343342,3,ATP8A2 ATP8B1 MCOLN3,-0.0,0.0,0,,0.427996719488022,0.9109189464068308,1,ATP13A2,0.7395581180805929,0.7315517099099758,4,ATP13A2 ATP8A2 ATP8B1 MCOLN3,5.067057742502753,2.7685708238176403,3,ATP8A2 ATP8B1 MCOLN3,-0.0,0.0,0,,1.5544603374856973,2.258721392774765,1,ATP8A2,1.8532138535843277,2.5280536984711057,1,ATP13A2,0.8702662653400932,1.5317650652290986,1,ATP8A2,Ion transport by P-type ATPases,0,0,0.0,0.0,0.041666666666666664,0.9583333333333334
C255,-0.0,0.0,0,,0.6639471573989355,1.2869571712542598,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,0.05108114689205873,-0.14526708605865757,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C255,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C254,0.5849116495654252,1.167116043001755,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,0.7583822135493572,1.4078429116100715,1,ATP13A2,0.11217973573844887,-0.2995343635657548,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.4302780308662606,3.0249709562815177,1,ATP13A2,-0.0,0.0,0,,C254,0,0,0.0,0.0,0.06666666666666667,0.9333333333333333
C266,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C266,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C268,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C268,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C263,3.2536262174486144,2.8928197395348043,2,B4GAT1 CTSF,-0.0,0.0,0,,-0.0,0.0,0,,1.431455496251593,2.255573531930459,1,B4GAT1,2.1424857260260395,2.0536343999951576,3,B4GAT1 CTSF KLC1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.4339890611417556,3.872695619918904,1,KLC1,-0.0,0.0,0,,antigen processing and presentation of peptide antigen,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C283,1.514819564272789,2.42042246023611,1,GNPTAB,1.481445544225232,2.3860045262768494,1,GNPTAB,-0.0,0.0,0,,1.7583484572951773,2.661146800765569,1,GNPTAB,1.4675563835794827,1.93530412074755,2,GNPTAB MICU1,-0.0,0.0,0,,-0.0,0.0,0,,3.445481970370522,4.008936177827927,1,GNPTAB,-0.0,0.0,0,,2.4680981664608668,3.281984753196177,1,GNPTAB,C283,1,0,0.2,0.0,0.0,0.8
C281,-0.0,0.0,0,,1.481445544225232,2.3860045262768494,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,DRAM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C281,0,1,0.0,0.2,0.0,0.8
C305,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,MCOLN3,2.7353030206152664,3.60492955063291,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C305,1,0,0.25,0.0,0.0,0.75
C300,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,GPNMB,-0.0,0.0,0,,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,GPNMB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C300,0,1,0.0,0.25,0.0,0.75
