,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,decreased susceptibility to neuronal excitotoxicity:-log(OR_p),decreased susceptibility to neuronal excitotoxicity:log_OR,decreased susceptibility to neuronal excitotoxicity:num_genes,decreased susceptibility to neuronal excitotoxicity:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C231,-0.0,0.0,0,,1.8905307618808171,1.8173335274462339,2,CTSD NFKB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.786604235931583,1.6723814212709307,4,BID CTSB CTSD HEXA,-0.0,0.0,0,,-0.0,0.0,0,,pigment granule,1,4,0.02631578947368421,0.10526315789473684,0.0,0.868421052631579
C233,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5508574944523047,1.0989354426537954,1,SOX3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Regulation of T cell activation by CD28 family,0,1,0.0,0.034482758620689655,0.034482758620689655,0.9310344827586207
C236,5.9583304421423735,3.7336223233774284,2,ATP13A2 NEFL,3.5576968582803157,2.7629763444781155,2,ATP8A2 ATP8B1,-0.0,0.0,0,,5.11118912800603,4.830657654846755,1,SNCG,3.4262733786011106,3.7309806301325716,1,SNCG,-0.0,0.0,0,,2.271563560506222,2.895992005528319,1,SNCG,1.8556711731130973,1.8627112052003412,2,ATP13A2 ATP2B1,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,1,1,0.0625,0.0625,0.0,0.875
C245,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C245,1,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C240,-0.0,0.0,0,,1.4741393554176896,2.2181524216345263,1,SCARB2,5.4702876665481055,5.053960818834549,1,AP1S2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.200113396146076,2.1040363276515075,2,SCARB2 STAM,3.008185676900446,3.4626486591702577,1,AP1S2,4.224233320584112,4.264864854861754,1,AP1S2,clathrin coat,1,0,0.07692307692307693,0.0,0.0,0.9230769230769231
C274,4.073710476857645,4.566002804745972,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.309019921416325,5.341057520224195,1,TMEM175,2.403605127904422,3.3338730161733086,1,TMEM175,3.9833099328193056,4.506070225331822,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C274,0,1,0.0,0.25,0.0,0.75
C258,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C258,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C234,-0.0,0.0,0,,1.0145539844431943,1.70689747511857,1,CTSD,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.903299454701616,2.0190984117723687,3,CTSB CTSD HEXA,-0.0,0.0,0,,-0.0,0.0,0,,lysosomal lumen,0,3,0.0,0.14285714285714285,0.0,0.8571428571428572
C251,-0.0,0.0,0,,1.9959663660134475,2.757417155517074,1,NFKB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C251,1,1,0.125,0.125,0.0,0.75
C259,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8329444365215903,2.640564488905829,1,ITPR3,-0.0,0.0,0,,-0.0,0.0,0,,3.8650166751964115,4.156115652109667,1,UNC13A,5.17500152942897,4.958331388202781,1,UNC13A,C259,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C284,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.403605127904422,3.3338730161733086,1,FYN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C284,0,1,0.0,0.25,0.0,0.75
C235,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Inflammatory bowel disease,0,1,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706
C244,-0.0,0.0,0,,1.6487959523778757,2.400581280322463,1,CTSD,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.817906075060918,1.5038056945602296,1,CTSD,-0.0,0.0,0,,-0.0,0.0,0,,C244,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C255,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.2536262174486144,2.8928197395348043,2,CTSB HEXA,-0.0,0.0,0,,-0.0,0.0,0,,C255,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C292,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C292,0,1,0.0,0.25,0.0,0.75
C252,-0.0,0.0,0,,4.970381483399593,3.610703389421264,2,ATP8A2 ATP8B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.085604265160204,1.8606436686870795,1,ATP2B1,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,1,0,0.125,0.0,0.0,0.875
C279,4.073710476857645,4.566002804745972,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,7.127072304392954,6.440733865174867,1,SNCG,5.309019921416325,5.341057520224195,1,SNCG,-0.0,0.0,0,,3.9833099328193056,4.506070225331822,1,SNCG,1.7184611972172283,2.7081588613218095,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,C279,0,1,0.0,0.25,0.0,0.75
C257,7.746803411423416,4.763721881409124,2,SORCS1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,post-Golgi vesicle-mediated transport,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C249,-0.0,0.0,0,,1.9959663660134475,2.757417155517074,1,SCARB2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.0353872576846825,2.710443848203088,2,SCARB2 STAM,-0.0,0.0,0,,-0.0,0.0,0,,clathrin coat,1,0,0.125,0.0,0.0,0.875
C265,7.984045351961856,5.274654171841883,2,SORCS1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,post-Golgi vesicle-mediated transport,1,0,0.2,0.0,0.0,0.8
C262,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C262,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C260,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C260,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C286,-0.0,0.0,0,,2.7353030206152664,3.60492955063291,1,SCARB2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7184611972172283,2.7081588613218095,1,SCARB2,-0.0,0.0,0,,-0.0,0.0,0,,Cargo recognition for clathrin-mediated endocytosis,1,0,0.25,0.0,0.0,0.75
C271,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C271,1,1,0.2,0.2,0.0,0.6
C268,-0.0,0.0,0,,5.580311727249608,4.30401146671267,2,ATP8A2 ATP8B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,phospholipid translocation,1,0,0.2,0.0,0.0,0.8
C266,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.705879179300677,3.4037540235203956,2,CTSB HEXA,-0.0,0.0,0,,-0.0,0.0,0,,C266,0,1,0.0,0.2,0.0,0.8
C289,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.403605127904422,3.3338730161733086,1,ITPR3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C289,0,1,0.0,0.25,0.0,0.75
