,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C466,3.0320290734445328,3.642728660881434,1,HEXB,3.484049015481297,3.116017622434696,2,HEXA HEXB,-0.0,0.0,0,,3.960816610944204,3.3573947590037623,2,HEXA HEXB,1.3136621652034681,2.1628066020186028,1,HEXB,-0.0,0.0,0,,1.2424275232274749,1.6475637817261983,2,HEXA HEXB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,"hydrolase activity, hydrolyzing O-glycosyl compounds",2,0,0.3333333333333333,0.0,0.0,0.6666666666666667
C501,3.4696383357359686,4.15366113937852,1,HGSNAT,1.7184611972172283,2.7081588613218095,1,HGSNAT,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,HGSNAT,1.684050985540706,2.6737409687164098,1,NAGLU,-0.0,0.0,0,,1.7148682796136439,2.340827492030492,2,HGSNAT NAGLU,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C501,2,0,0.5,0.0,0.0,0.5
C451,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.955035732720776,1.692639836200005,1,MCOLN3,-0.0,0.0,0,,0.0936128161914653,0.26043117663204995,1,MCOLN3,-0.0,0.0,0,,1.865946215287675,2.623832122018193,1,MCOLN3,-0.0,0.0,0,,detection of mechanical stimulus,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C452,6.154013893390586,4.009553238837107,2,ARSA SUMF1,2.834862461476285,2.5562388308856656,2,ARSA SUMF1,-0.0,0.0,0,,3.3009347776276106,2.7976167255905757,2,ARSA SUMF1,0.955035732720776,1.692639836200005,1,ARSA,-0.0,0.0,0,,1.7022179572180953,1.6480527485618808,3,ALPL ARSA SUMF1,-0.0,0.0,0,,1.865946215287675,2.623832122018193,1,ARSA,1.4937902241620784,2.277751976836031,1,SUMF1,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",2,0,0.2222222222222222,0.0,0.0,0.7777777777777778
C453,2.536801949301404,3.17256472812738,1,IDUA,0.9836037104396502,1.7270579356196691,1,IDUA,-0.0,0.0,0,,1.1942799076748072,1.9677832870517253,1,IDUA,0.955035732720776,1.692639836200005,1,IDUA,-0.0,0.0,0,,0.0936128161914653,0.26043117663204995,1,IDUA,-0.0,0.0,0,,1.865946215287675,2.623832122018193,1,IDUA,-0.0,0.0,0,,C453,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C456,-0.0,0.0,0,,-0.0,0.0,0,,3.259523322628966,3.7184915996462413,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,TMEM175,4.411792846545135,4.460703645940478,1,TMEM175,-0.0,0.0,0,,1.613332052866338,2.4113372096091643,1,TMEM175,C456,0,1,0.0,0.125,0.0,0.875
C496,3.4696383357359686,4.15366113937852,1,APOE,1.7184611972172283,2.7081588613218095,1,APOE,4.073710476857645,4.566002804745972,1,APOE,1.9686837813920908,2.9488829491941093,1,APOE,1.684050985540706,2.6737409687164098,1,APOE,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,APOE,-0.0,0.0,0,,2.7353030206152664,3.60492955063291,1,APOE,-0.0,0.0,0,,C496,0,1,0.0,0.25,0.0,0.75
C439,-0.0,0.0,0,,0.8357291718904393,0.8642961632494366,3,CTSB CTSF MAN2B1,2.8081947754393544,2.309885962872549,2,NR1H3 TREM2,-0.0,0.0,0,,0.24049710272681146,0.40442954458736047,2,CTSB SLC1A3,-0.0,0.0,0,,0.6631749200741808,0.46974656283939353,8,B2M CTSB CTSF GM2A MAN2B1 SLC1A3 SNCG TREM2,1.635550858401411,2.326303755338987,1,UCP2,2.5113068247435,1.7681076531968678,3,B2M MAFB MAN2B1,3.03436398174887,1.7282336064048707,4,CTSB SLC1A3 SNCG UCP2,antigen processing and presentation of peptide antigen,2,0,0.03333333333333333,0.0,0.0,0.9666666666666667
C444,1.7775214942307507,2.478989945871893,1,CD81,1.7586837892036888,1.7936639725924497,2,CD81 MAN2B1,-0.0,0.0,0,,0.6633805362416173,1.2742032997332373,1,CD81,0.47758057150298344,0.999057494623619,1,NPC2,-0.0,0.0,0,,0.6802691421127977,0.8002885790032508,3,CD81 MAN2B1 NPC2,3.287899989109225,3.6335457501893806,1,UCP2,1.2086739507516555,1.9302557108475167,1,MAN2B1,0.9028211605775823,1.5841739706999256,1,UCP2,antigen processing and presentation of peptide antigen,2,0,0.11764705882352941,0.0,0.0,0.8823529411764706
C448,-0.0,0.0,0,,0.749579251412042,1.4084411654529223,1,MAN2B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.019733617884756992,-0.05819741532684475,1,MAN2B1,3.808497410399296,4.008505518309295,1,UCP2,1.5570249924037227,2.3052174510103596,1,MAN2B1,1.2132829422112836,1.9591367078769055,1,UCP2,antigen processing and presentation of peptide antigen,1,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C441,-0.0,0.0,0,,1.5083038494754721,1.6111793147026372,2,SMPD1 SMPD3,-0.0,0.0,0,,0.5475767453258789,1.102190691966058,1,SMPD3,0.3760101727466938,0.8270440034827065,1,SMPD1,15.66577343282942,5.708530543007045,3,ACER1 SGMS1 SGMS2,0.25539928680706736,-0.6052075668086125,1,SMPD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,0,0.05,0.0,0.0,0.95
C495,3.4696383357359686,4.15366113937852,1,NPC1,1.7184611972172283,2.7081588613218095,1,NPC1,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,NPC1,1.684050985540706,2.6737409687164098,1,NPC1,6.706174300057658,6.178210064425829,1,NPC1,0.5491384224666892,1.2415517964475047,1,NPC1,-0.0,0.0,0,,2.7353030206152664,3.60492955063291,1,NPC1,-0.0,0.0,0,,C495,1,0,0.25,0.0,0.0,0.75
C450,-0.0,0.0,0,,0.9836037104396502,1.7270579356196691,1,AGA,-0.0,0.0,0,,1.1942799076748072,1.9677832870517253,1,AGA,0.955035732720776,1.692639836200005,1,AGA,-0.0,0.0,0,,0.0936128161914653,0.26043117663204995,1,AGA,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C450,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C457,-0.0,0.0,0,,1.085604265160204,1.8606436686870795,1,MAN2B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,MAN2B1,4.411792846545135,4.460703645940478,1,UCP2,1.9959663660134475,2.757417155517074,1,MAN2B1,1.613332052866338,2.4113372096091643,1,UCP2,antigen processing and presentation of peptide antigen,1,0,0.125,0.0,0.0,0.875
C475,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C475,0,0,0.0,0.0,0.2,0.8
C498,-0.0,0.0,0,,1.7184611972172283,2.7081588613218095,1,GLB1,-0.0,0.0,0,,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,GLB1,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,GLB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,hexose metabolic process,1,0,0.25,0.0,0.0,0.75
C488,-0.0,0.0,0,,1.7184611972172283,2.7081588613218095,1,FUCA1,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,FUCA1,1.684050985540706,2.6737409687164098,1,FUCA1,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,FUCA1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,"hydrolase activity, hydrolyzing O-glycosyl compounds",1,0,0.25,0.0,0.0,0.75
